Año,Campeón del Oeste,Resultado,Campeón del Este,Ref.
1950,Minneapolis Lakersn. 2​,4–2,Syracuse Nationals†,19​18​
1951,Rochester Royals,4–3,New York Knicks,20​
1952,Minneapolis Lakers,4–3,New York Knicks,21​
1953,Minneapolis Lakers†,4–1,New York Knicks,22​
1954,Minneapolis Lakers†,4–3,Syracuse Nationals,23​
1955,Ft. Wayne Pistons,3–4,Syracuse Nationals†,24​
1956,Ft. Wayne Pistons,1–4,Philadelphia Warriors†,25​
1957,St. Louis Hawks,3–4,Boston Celtics†,26​
1958,St. Louis Hawks,4–2,Boston Celtics†,27​
1959,Minneapolis Lakers,0–4,Boston Celtics†,28​
1960,St. Louis Hawks,3–4,Boston Celtics†,29
